0;1;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cantabria;Castellón/Castelló;Ceuta;Ciudad Real;Coruña, A;Cuenca;Cáceres;Cádiz;Córdoba;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Melilla;Murcia;Málaga;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ávila
22;Albacete;67058.0;1854.0;405.0;30.0;75.0;77.0;305.0;495.0;42.0;53.0;53.0;137.0;;1355.0;36.0;6153.0;76.0;172.0;98.0;;86.0;164.0;152.0;39.0;18.0;495.0;91.0;59.0;;2194.0;;4862.0;141.0;79.0;43.0;;283.0;274.0;24.0;33.0;;26.0;165.0;74.0;80.0;43.0;804.0;2443.0;47.0;27.0;291.0;15.0
22;Alicante/Alacant;6352.0;643747.0;823.0;74.0;466.0;97.0;986.0;3460.0;798.0;429.0;322.0;1192.0;;577.0;448.0;846.0;180.0;202.0;272.0;1297.0;859.0;888.0;556.0;27.0;183.0;294.0;407.0;65.0;;11252.0;;35667.0;626.0;969.0;265.0;49.0;59.0;109.0;334.0;280.0;123.0;503.0;434.0;33.0;731.0;155.0;1309.0;22511.0;501.0;75.0;489.0;96.0
22;Almería;137.0;1106.0;233749.0;178.0;15.0;117.0;492.0;2422.0;74.0;147.0;17.0;397.0;;339.0;50.0;62.0;70.0;764.0;311.0;388.0;1456.0;13193.0;241.0;103.0;77.0;977.0;37.0;433.0;17.0;2237.0;17.0;3222.0;2316.0;570.0;;40.0;48.0;49.0;31.0;53.0;;16.0;1052.0;21.0;543.0;73.0;470.0;1557.0;63.0;36.0;628.0;21.0
22;Araba/Álava;35.0;551.0;22.0;64792.0;221.0;32.0;45.0;436.0;9356.0;12212.0;575.0;;;;49.0;24.0;80.0;31.0;32.0;7037.0;44.0;93.0;24.0;;92.0;75.0;193.0;29.0;;1155.0;;188.0;106.0;3211.0;109.0;185.0;53.0;92.0;4101.0;54.0;53.0;30.0;81.0;;30.0;22.0;143.0;224.0;190.0;59.0;400.0;
22;Asturias;81.0;195.0;16.0;268.0;628577.0;131.0;112.0;1088.0;886.0;430.0;2273.0;32.0;;49.0;1294.0;116.0;92.0;78.0;38.0;689.0;64.0;158.0;97.0;16.0;;19.0;5092.0;68.0;2553.0;3398.0;;77.0;129.0;543.0;257.0;478.0;41.0;583.0;240.0;241.0;316.0;108.0;116.0;;154.0;;281.0;415.0;605.0;393.0;517.0;37.0
22;Badajoz;69.0;96.0;96.0;18.0;21.0;131009.0;51.0;346.0;95.0;55.0;100.0;22.0;;445.0;66.0;17.0;13714.0;568.0;473.0;57.0;73.0;205.0;75.0;979.0;16.0;24.0;92.0;24.0;;2016.0;;59.0;320.0;26.0;51.0;40.0;35.0;16.0;;304.0;;;1949.0;22.0;86.0;;752.0;325.0;145.0;73.0;188.0;88.0
22;Balears, Illes;;524.0;31.0;;121.0;50.0;666914.0;2656.0;232.0;;;84.0;;38.0;127.0;50.0;179.0;96.0;154.0;24.0;233.0;155.0;;;67.0;112.0;;51.0;362.0;2351.0;;124.0;120.0;71.0;57.0;46.0;159.0;169.0;36.0;46.0;339.0;36.0;219.0;;126.0;;85.0;1100.0;17.0;;159.0;
22;Barcelona;202.0;1985.0;415.0;418.0;1005.0;312.0;12808.0;3177035.0;1128.0;570.0;714.0;2369.0;;436.0;1128.0;196.0;294.0;706.0;183.0;1590.0;62488.0;545.0;620.0;153.0;2867.0;241.0;407.0;18307.0;422.0;9130.0;;936.0;1127.0;1528.0;460.0;199.0;1229.0;960.0;607.0;223.0;1165.0;82.0;1151.0;241.0;55386.0;1017.0;460.0;5494.0;890.0;90.0;3964.0;26.0
22;Bizkaia;;342.0;;10596.0;914.0;41.0;242.0;1428.0;631395.0;3876.0;17702.0;128.0;;65.0;289.0;;107.0;216.0;26.0;10828.0;138.0;;105.0;68.0;93.0;110.0;383.0;179.0;74.0;2805.0;;83.0;216.0;3067.0;223.0;239.0;44.0;250.0;1633.0;105.0;91.0;115.0;62.0;135.0;229.0;71.0;229.0;518.0;236.0;95.0;683.0;16.0
22;Burgos;22.0;206.0;22.0;15844.0;417.0;112.0;23.0;598.0;1622.0;155411.0;1789.0;42.0;;73.0;122.0;15.0;107.0;69.0;24.0;1219.0;88.0;42.0;160.0;33.0;89.0;52.0;689.0;19.0;50.0;2996.0;;55.0;83.0;850.0;88.0;2829.0;;120.0;3099.0;453.0;;3430.0;217.0;1288.0;253.0;28.0;296.0;149.0;1831.0;376.0;571.0;317.0
